"","AnglerId","angler_name"
"1",7371,"Michael Iaconelli"
"2",7511,"Bryan Schmitt"
"3",7931,"John Crews Jr"
"4",8848,"Randy Howell"
"5",9665,"Steve Kennedy"
"6",10579,"Bernie Schultz"
"7",14419,"Mark Menendez"
"8",15310,"Gerald Swindle"
"9",16203,"Cliff Pace"
"10",16397,"Greg Hackney"
"11",17750,"Jason Christie"
"12",17759,"Scott Martin"
"13",18676,"Ray Hanselman Jr"
"14",20920,"Clifford Pirch"
"15",21942,"Ed Loughran III"
"16",22220,"Cody Meyer"
"17",26142,"Scott Canterbury"
"18",27627,"Paul Mueller"
"19",27872,"John Cox"
"20",28218,"Chris Zaldain"
"21",28575,"Gregory DiPalma"
"22",29115,"Kenta Kimura"
"23",32215,"Brandon Card"
"24",32834,"Bill Lowen"
"25",32950,"Brandon Palaniuk"
"26",36605,"Jason Williamson"
"27",37402,"Justin Hamner"
"28",37753,"Seth Feider"
"29",43038,"Shane LeHew"
"30",49826,"Andrew Loberg"
"31",49865,"Logan Latuso"
"32",52203,"Jordan Lee"
"33",54121,"Bryant Smith"
"34",54768,"Chad Pipkens"
"35",54937,"Stetson Blaylock"
"36",55161,"Matt Arey"
"37",55543,"Luke Palmer"
"38",55718,"Alex Wetherell"
"39",55810,"Hank Cherry Jr"
"40",56491,"Carl Jocumsen"
"41",56664,"Matt Robertson"
"42",57143,"Drew Benton"
"43",57217,"Brandon Lester"
"44",57263,"Brock Mosley"
"45",57448,"Will Davis Jr"
"46",57773,"Bryan New"
"47",59019,"Justin Atkins"
"48",59153,"David Mullins"
"49",59178,"Brandon Cobb"
"50",59597,"Jake Whitaker"
"51",59870,"Drew Cook"
"52",59888,"John Garrett"
"53",60078,"Kyle Welcher"
"54",60131,"Ben Milliken"
"55",60275,"Hunter Shryock"
"56",60708,"Bob Downey"
"57",60857,"Timothy Dube"
"58",61032,"Patrick Walters"
"59",61758,"Cory Johnston"
"60",61759,"Chris Johnston"
"61",61904,"Austin Felix"
"62",62011,"Tyler Rivet"
"63",62075,"Wes Logan"
"64",62102,"Cole Sands"
"65",62504,"Jacob Foutz"
"66",62652,"Joey Cifuentes III"
"67",62749,"Cooper Gallant"
"68",62778,"Logan Parks"
"69",63112,"Brad Whatley"
"70",63613,"Jonathan Kelley"
"71",64274,"David Gaston"
"72",64765,"KJ Queen"
"73",65462,"Beau Browning"
"74",65744,"Caleb Sumrall"
"75",65753,"Lee Livesay"
"76",66978,"Dakota Ebare"
"77",67639,"Emil Wagner"
"78",67802,"Pat Schlapper"
"79",68416,"Jay Przekurat"
"80",68843,"Wesley Gore"
"81",68912,"Buddy Gross"
"82",69226,"Marc Frazier"
"83",71457,"Cody Huff"
"84",71886,"Trey McKinney"
"85",72386,"Evan Kung"
"86",72942,"Blake Capps"
"87",73121,"Tucker Smith"
"88",73457,"Taku Ito"
"89",74152,"Paul Marks"
"90",74595,"Robert Gee"
"91",75191,"Easton Fothergill"
"92",75243,"JT Thompkins"
"93",75366,"Jeff Gustafson"
"94",75401,"Caleb Kuphall"
"95",77998,"Tyler Williams"
"96",78710,"Alex Redwine"
"97",80539,"Kyle Patrick"
"98",81764,"Matty Wong"
"99",84082,"Kyoya Fujita"
"100",84169,"Kyle Norsetter"
"101",25687,"Jamie Hartman"
"102",48760,"Keith Combs"
"103",34090,"Jacob Powroznik"
